Country,State,Key#,County,EcoRegion Domain,EcoRegion Division,Population Density,Terrain,Subject Category,Age,Sex,Number Lost,Weather,Coordinates,LKP Coord. (N/S),LKP Coord. (E/W),Find Coord (N/S),Find Coord (E/W),IPP Precision (m),IPP Coord. DD.D (N/S),IPP Coord. DD.D (E/W),Find Coord DD.D (N/S),Find Coord DD.D (E/W)
US,AZ,US-AZ0078,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,"17,15",MM,2,,DD.DDD,34.94833336,-111.795,34.94666665,-111.795,1,34.94833336,-111.795,34.94666665,-111.795
US,AZ,US-AZ0080,COCHISE ,Dry,320,Wilderness,Flat,Hiker,"8,8,4,30",FMMF,4,,DD.DDD,31.72261664,-110.1878333,31.74176668,-110.1917833,1,31.72261664,-110.1878333,31.74176668,-110.1917833
US,AZ,US-AZ0083,PINAL ,Dry,320,Wilderness,Flat,Hiker,27,F,,,DD.DDD,33.39733334,-111.348,33.44166667,-111.3676667,1,33.39733334,-111.348,33.44166667,-111.3676667
US,AZ,US-AZ0091,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,"20,20,21",MFM,3,,DD.DDD,34.63041668,-112.5553,34.62723331,-112.5457666,1,34.63041668,-112.5553,34.62723331,-112.5457666
US,AZ,US-AZ0096,MOHAVE ,Dry,310,Wilderness,Mountainous,Mental Retardation,50,M,,,DD.DDD,35.26088333,-113.9805833,35.18688334,-113.3651,1,35.26088333,-113.9805833,35.18688334,-113.3651
US,AZ,US-AZ0097,YAVAPAI ,Dry,310,Wilderness,Flat,Vehicle,25,F,,,DD.DDD,34.15995,-112.45995,34.15100001,-112.4788,1,34.15995,-112.45995,34.15100001,-112.4788
US,AZ,US-AZ0098,GRAHAM ,Dry,320,Wilderness,Flat,Hunter,65,M,,,DD.DDD,32.74816666,-110.387,32.73283335,-110.3853167,1,32.74816666,-110.387,32.73283335,-110.3853167
US,AZ,US-AZ0103,GRAHAM ,Dry,320,Wilderness,Flat,Hunter,49,M,,,DD.DDD,32.44718332,-109.8538666,32.49103333,-109.82405,1,32.44718332,-109.8538666,32.49103333,-109.82405
US,AZ,US-AZ0104,PINAL ,Dry,320,Wilderness,Flat,Mental Retardation,49,F,,,DD.DDD,32.56261667,-110.7051333,32.55876668,-110.7036833,1,32.56261667,-110.7051333,32.55876668,-110.7036833
US,AZ,US-AZ0105,PINAL ,Dry,320,Wilderness,Mountainous,Horseback Rider,"37,62",MM,2,,DD.DDD,33.40944999,-111.2061833,33.34418332,-111.4271667,1,33.40944999,-111.2061833,33.34418332,-111.4271667
US,AZ,US-AZ0112,YAVAPAI ,Dry,310,Wilderness,Mountainous,Hiker,62,M,,,DD.DDD,34.55976664,-111.65395,34.54006666,-111.7034833,1,34.55976664,-111.65395,34.54006666,-111.7034833
US,AZ,US-AZ0113,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,69,M,,,DD.DDD,34.90286668,-111.8131333,34.89183331,-111.8048167,1,34.90286668,-111.8131333,34.89183331,-111.8048167
US,AZ,US-AZ0114,PIMA ,Dry,320,Wilderness,Flat,Climber,49,M,,,DD.DDD,32.36833334,-110.7166667,32.37233334,-110.7181667,1,32.36833334,-110.7166667,32.37233334,-110.7181667
US,AZ,US-AZ0118,PIMA ,Dry,320,Wilderness,Mountainous,Mountain Biker,"23,24",MM,2,,DD.DDD,32.44043334,-110.7910667,32.45033334,-110.8168333,1,32.44043334,-110.7910667,32.45033334,-110.8168333
US,AZ,US-AZ0119,YAVAPAI ,Dry,310,Wilderness,Flat,Vehicle-4wd,"71,76,15",MMM,3,,DD.DDD,34.61666667,-112.8,34.54183331,-112.7815333,1,34.61666667,-112.8,34.54183331,-112.7815333
US,AZ,US-AZ0120,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,43,M,,,DD.DDD,34.86666667,-111.8833333,34.86666667,-111.8,1,34.86666667,-111.8833333,34.86666667,-111.8
US,AZ,US-AZ0121,APACHE ,Dry,m310,Wilderness,Flat,Child,6,M,,,DD.DDD,34.84249999,-109.2758333,34.8197333,-109.3030667,1,34.84249999,-109.2758333,34.8197333,-109.3030667
US,AZ,US-AZ0125,PIMA ,Dry,320,Suburban,Flat,Autistic,13,M,1,,DD.DDD,32.26666667,-110.7916667,32.26966667,-110.7926667,1,32.26666667,-110.7916667,32.26966667,-110.7926667
US,AZ,US-AZ0126,PIMA ,Dry,320,Wilderness,Mountainous,Hiker,30,F,,,DD.DDD,32.43543332,-110.7893333,32.42883333,-110.7943333,1,32.43543332,-110.7893333,32.42883333,-110.7943333
US,AZ,US-AZ0127,PIMA ,Dry,320,Wilderness,Flat,Hiker,24,F,,,DD.DDD,32.40916665,-110.7098333,32.40083332,-110.6923333,1,32.40916665,-110.7098333,32.40083332,-110.6923333
US,AZ,US-AZ0129,COCHISE ,Dry,320,Wilderness,Flat,Hunter,65,M,,,DD.DDD,32.29733334,-110.2794,32.31533333,-110.3025,1,32.29733334,-110.2794,32.31533333,-110.3025
US,AZ,US-AZ0131,MOHAVE ,Dry,310,Wilderness,Flat,ATV,"42,14,45,13",FMMM,4,,DD.DDD,34.51823333,-114.2821667,34.51666667,-114.25,1,34.51823333,-114.2821667,34.51666667,-114.25
US,AZ,US-AZ0132,MOHAVE ,Dry,310,Wilderness,Flat,Motorcycle,"31,30",MM,2,,DD.DDD,35.16326666,-114.3189333,35.11666667,-114.4333333,1,35.16326666,-114.3189333,35.11666667,-114.4333333
US,AZ,US-AZ0134,COCONINO ,Dry,M310,Wilderness,Flat,Hunter,67,M,,,DD.DDD,35.54000003,-111.9583333,35.54666665,-111.9683333,1,35.54000003,-111.9583333,35.54666665,-111.9683333
US,AZ,US-AZ0135,COCONINO ,Dry,M310,Wilderness,Flat,Hiker,28,F,,,DD.DDD,35.33068333,-111.7110833,35.33423335,-111.6975,1,35.33068333,-111.7110833,35.33423335,-111.6975
US,AZ,US-AZ0136,APACHE ,Dry,m310,Wilderness,Flat,Child,12,M,,,DD.DDD,34.18046667,-109.3044667,34.24506667,-109.3257667,1,34.18046667,-109.3044667,34.24506667,-109.3257667
US,AZ,US-AZ0137,APACHE ,Dry,m310,Wilderness,Flat,Youth,"14,16",MM,2,,DD.DDD,34.18046667,-109.3044667,34.24506667,-109.3257667,1,34.18046667,-109.3044667,34.24506667,-109.3257667
US,AZ,US-AZ0138,COCONINO ,Dry,M310,Wilderness,Flat,Mental Retardation,23,M,,,DD.DDD,35.0334,-111.2949833,35.58833332,-111.2394167,1,35.0334,-111.2949833,35.58833332,-111.2394167
US,AZ,US-AZ0139,MOHAVE ,Dry,310,Wilderness,Flat,Worker,68,M,,,DD.DDD,35.9,-114.4,35.91666667,-114.0833333,1,35.9,-114.4,35.91666667,-114.0833333
US,AZ,US-AZ0142,PIMA ,Dry,320,Suburban,Flat,Autistic,10,M,,,DD.DDD,32.41666667,-110.9333333,32.37083333,-110.9758333,1,32.41666667,-110.9333333,32.37083333,-110.9758333
US,AZ,US-AZ0144,YAVAPAI ,Dry,310,Wilderness,Flat,Child,10,M,,,DD.DDD,35.09275,-112.4393,35.08423333,-112.4337167,1,35.09275,-112.4393,35.08423333,-112.4337167
US,AZ,US-AZ0149,MOHAVE ,Dry,310,Wilderness,Flat,ATV,52,M,,,DD.DDD,35.1,-113.55,35.16666667,-113.7,1,35.1,-113.55,35.16666667,-113.7
US,AZ,US-AZ0150,COCHISE ,Dry,320,Wilderness,Flat,Aircraft,28,MM,2,,DD.DDD,32.0695,-110.0718333,35.16243334,-111.5408833,1,32.0695,-110.0718333,35.16243334,-111.5408833
US,AZ,US-AZ0151,YAVAPAI ,Dry,310,Wilderness,Flat,Child,11,M,,,DD.DDD,34.40413332,-112.42975,34.3949,-112.4288833,1,34.40413332,-112.42975,34.3949,-112.4288833
US,AZ,US-AZ0154,COCHISE ,Dry,320,Wilderness,Flat,Hiker,48,M,,,DD.DDD,32.01236667,-109.3157167,31.99934998,-109.3078,1,32.01236667,-109.3157167,31.99934998,-109.3078
US,AZ,US-AZ0156,COCHISE ,Dry,320,Wilderness,Flat,Hiker,63,M,,,DD.DDD,31.85073331,-109.4219333,31.86200002,-109.338,1,31.85073331,-109.4219333,31.86200002,-109.338
US,AZ,US-AZ0158,COCONINO ,Dry,M310,Wilderness,Flat,Hiker,59,F,,,DD.DDD,34.88683332,-111.784,34.90266666,-111.7868333,1,34.88683332,-111.784,34.90266666,-111.7868333
US,AZ,US-AZ0159,MARICOPA ,Dry,320,Wilderness,Flat,Dementia,85,M,,,DD.DDD,33.58235003,-111.2151333,33.59669997,-111.2027833,1,33.58235003,-111.2151333,33.59669997,-111.2027833
US,AZ,US-AZ0160,PIMA ,Dry,320,Wilderness,Flat,Dementia,91,M,,,DD.DDD,32.32366667,-111.0733333,32.31871665,-111.07295,1,32.32366667,-111.0733333,32.31871665,-111.07295
US,AZ,US-AZ0161,PIMA ,Dry,320,Wilderness,Flat,Mental Retardation,13,F,,,DD.DDD,31.74216665,-111.0135,31.78933334,-111.0201667,1,31.74216665,-111.0135,31.78933334,-111.0201667
US,AZ,US-AZ0162,PIMA ,Dry,320,Wilderness,Mountainous,Hiker,53,M,,,DD.DDD,32.41976668,-110.7473333,32.36550001,-110.7758333,1,32.41976668,-110.7473333,32.36550001,-110.7758333
US,AZ,US-AZ0165,YAVAPAI ,Dry,310,Wilderness,Flat,Vehicle-4wd,,F,,,DD.DDD,34.30129999,-112.10295,34.28333333,-112.05,1,34.30129999,-112.10295,34.28333333,-112.05
US,AZ,US-AZ0166,YAVAPAI ,Dry,310,Wilderness,Flat,Vehicle-4wd,37,M,,,DD.DDD,34.30129999,-112.10295,34.28333333,-112.05,1,34.30129999,-112.10295,34.28333333,-112.05
US,AZ,US-AZ0169,MARICOPA ,Dry,320,Wilderness,Flat,Hiker,58,F,,,DD.DDD,33.60398331,-112.5151167,33.5903333,-112.5228333,1,33.60398331,-112.5151167,33.5903333,-112.5228333
US,AZ,US-AZ0170,COCHISE ,Dry,320,Wilderness,Flat,Mental Retardation,38,F,,,DD.DDD,31.94159997,-109.83255,31.93203335,-109.776,1,31.94159997,-109.83255,31.93203335,-109.776
US,AZ,US-AZ0176,PINAL ,Dry,320,Wilderness,Mountainous,Mountain Biker,39,M,,,DD.DDD,32.44033333,-110.7910334,32.48291667,-110.8153333,1,32.44033333,-110.7910334,32.48291667,-110.8153333
US,AZ,US-AZ0178,PINAL ,Dry,320,Wilderness,Mountainous,Hiker,40,M,,,DD.DDD,33.39680001,-111.34805,33.42150002,-111.3605,1,33.39680001,-111.34805,33.42150002,-111.3605
US,AZ,US-AZ0180,MARICOPA ,Dry,320,Wilderness,Flat,Hiker,"55,45,55,69",MMMM,4,,DD.DDD,33.52603334,-111.3904833,33.52000001,-111.395,1,33.52603334,-111.3904833,33.52000001,-111.395
US,AZ,US-AZ0181,MARICOPA ,Dry,320,Wilderness,Mountainous,Aircraft,22,F,,,DD.DDD,33.27266668,-112.5923333,33.26836665,-112.5911667,1,33.27266668,-112.5923333,33.26836665,-112.5911667
US,AZ,US-AZ0185,PIMA ,Dry,320,Wilderness,Mountainous,Hiker,63,M,,,DD.DDD,32.33333333,-110.8528333,32.37150002,-110.8646667,1,32.33333333,-110.8528333,32.37150002,-110.8646667
US,AZ,US-AZ0186,PIMA ,Dry,320,Wilderness,Mountainous,Hiker,24,M,,,DD.DDD,32.33583333,-110.9101667,32.3665,-110.8801667,1,32.33583333,-110.9101667,32.3665,-110.8801667
US,AZ,US-AZ0187,PIMA ,Dry,320,Wilderness,Flat,Hiker,"38,51",MM,2,,DD.DDD,32.33699999,-110.9166667,32.35983334,-110.8976667,1,32.33699999,-110.9166667,32.35983334,-110.8976667
US,AZ,US-AZ0188,LA PAZ ,Dry,320,Wilderness,Flat,Substance Abuse,29,F,,,DD.DDD,33.65670001,-114.4192167,33.61026669,-114.5182333,1,33.65670001,-114.4192167,33.61026669,-114.5182333
US,AZ,US-AZ0190,MOHAVE ,Dry,310,Wilderness,Mountainous,Dementia,89,M,,,DD.DDD,35.26558334,-114.0267,35.29941667,-114.0836667,1,35.26558334,-114.0267,35.29941667,-114.0836667
US,AZ,US-AZ0192,COCONINO ,Dry,M310,Wilderness,Flat,Hiker,32,F,,,DD.DDD,35.08133334,-111.0710833,35.08133334,-111.0710833,1,35.08133334,-111.0710833,35.08133334,-111.0710833
US,AZ,US-AZ0195,YUMA ,Dry,320,Wilderness,Flat,Hiker,51,F,,,DD.DDD,33.25,-113.5093333,33.25,-113.5093333,1,33.25,-113.5093333,33.25,-113.5093333
US,AZ,US-AZ0196,SANTA CRUZ ,Dry,320,Wilderness,Mountainous,Hiker,68,M,,,DD.DDD,31.50571667,-110.6762167,31.51000001,-110.6533333,1,31.50571667,-110.6762167,31.51000001,-110.6533333
US,AZ,US-AZ0201,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,35,M,,,DD.DDD,34.91666667,-111.8,34.96666667,-111.8666667,1,34.91666667,-111.8,34.96666667,-111.8666667
US,AZ,US-AZ0203,MOHAVE ,Dry,310,Wilderness,Flat,Vehicle-4wd,"19,20,21,25",MFMM,4,,DD.DDD,34.41985,-114.1983333,34.27661667,-114.0408333,1,34.41985,-114.1983333,34.27661667,-114.0408333
US,AZ,US-AZ0204,MOHAVE ,Dry,310,Wilderness,Flat,Hiker,24,M,,,DD.DDD,35.1938,-114.0570333,35.20871666,-114.13195,1,35.1938,-114.0570333,35.20871666,-114.13195
US,AZ,US-AZ0205,MOHAVE ,Dry,310,Wilderness,Flat,Worker,35,M,,,DD.DDD,35.73811665,-114.3975833,35.7725167,-114.2564667,1,35.73811665,-114.3975833,35.7725167,-114.2564667
US,AZ,US-AZ0207,PIMA ,Dry,320,Wilderness,Flat,Hiker,"53,54,56",FMF,3,,DD.DDD,33.39715001,-111.3478833,33.42233334,-111.3514667,1,33.39715001,-111.3478833,33.42233334,-111.3514667
US,AZ,US-AZ0208,COCONINO ,Dry,M310,Wilderness,Flat,Gatherer,"102,35,37,14,35",MFMMMM,5,,DD.DDD,35.83560003,-112.0263833,35.82865003,-112.0532167,1,35.83560003,-112.0263833,35.82865003,-112.0532167
US,AZ,US-AZ0209,PIMA ,Dry,320,Wilderness,Flat,Hiker,33,F,1,,DD.DDD,33.39715001,-111.3478833,35.82865003,-112.0532167,1,33.39715001,-111.3478833,35.82865003,-112.0532167
US,AZ,US-AZ0210,GRAHAM ,Dry,320,Wilderness,Mountainous,Child,12,F,,,DD.DDD,32.85706666,-109.7643667,32.86378333,-109.7708167,1,32.85706666,-109.7643667,32.86378333,-109.7708167
US,AZ,US-AZ0211,PIMA ,Dry,320,Wilderness,Flat,Hiker,"13,13,57,11,12,12,13,12,13,46,13,31",MMMMMMMMMMMM,12,Snow,DD.DDD,33.37055,-111.1152167,33.37528334,-111.0891833,1,33.37055,-111.1152167,33.37528334,-111.0891833
US,AZ,US-AZ0219,GILA ,Dry,m310,Wilderness,MOUNTAINOUS,Hiker,"45,78",MM,2,,DD.DDD,34.0927,-111.42465,34.06876667,-111.4359167,1,34.0927,-111.42465,34.06876667,-111.4359167
US,AZ,US-AZ0221,COCHISE ,Dry,320,Wilderness,Mountainous,Hiker,"10,33,35,9",FFMM,4,Snow,DD.DDD,31.83521665,-110.3567,31.86226667,-110.39655,1,31.83521665,-110.3567,31.86226667,-110.39655
US,AZ,US-AZ0222,MOHAVE ,Dry,310,Wilderness,Flat,Aircraft,"59,62",MM,2,,DD.DDD,34.87518336,-113.4748333,34.88164997,-113.4667833,1,34.87518336,-113.4748333,34.88164997,-113.4667833
US,AZ,US-AZ0224,PINAL ,Dry,320,Wilderness,Mountainous,Horseback Rider,"13,32,60,46,32,9",MMMFFF,6,,DD.DDD,33.39720001,-111.3478667,33.47999999,-111.3725,1,33.39720001,-111.3478667,33.47999999,-111.3725
US,AZ,US-AZ0227,COCONINO ,Dry,M310,Wilderness,Flat,Hunter,39,M,,,DD.DDD,34.89366665,-111.5823333,34.90983334,-111.5875,1,34.89366665,-111.5823333,34.90983334,-111.5875
US,AZ,US-AZ0228,COCONINO ,Dry,M310,Wilderness,MOUNTAINOUS,Hiker,"17,18",MM,2,,DD.DDD,35.24375,-111.5996667,35.23251667,-111.6015,1,35.24375,-111.5996667,35.23251667,-111.6015
US,AZ,US-AZ0229,COCONINO ,Dry,M310,Wilderness,Flat,Despondent,59,M,,,DD.DDD,36.9235,-111.4773333,36.9235,-111.4773333,1,36.9235,-111.4773333,36.9235,-111.4773333
US,AZ,US-AZ0231,MOHAVE ,Dry,310,Wilderness,Flat,Vehicle,"33,33",FM,2,,DD.DDD,34.70491664,-113.6109166,34.86253332,-113.6262167,1,34.70491664,-113.6109166,34.86253332,-113.6262167
US,AZ,US-AZ0232,GILA ,Dry,m310,Wilderness,Flat,Hunter,41,M,,,DD.DDD,34.35966667,-111.3271667,34.37199999,-111.3353333,1,34.35966667,-111.3271667,34.37199999,-111.3353333
US,AZ,US-AZ0243,COCONINO ,Dry,M310,urban,Flat,Dementia,72,F,,,DD.DDD,35.09778334,-111.6884167,35.18475,-111.6615667,1,35.09778334,-111.6884167,35.18475,-111.6615667
US,AZ,US-AZ0250,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,"44,11",MM,2,,DD.DDD,34.82513332,-111.7874833,34.82195002,-111.7927834,1,34.82513332,-111.7874833,34.82195002,-111.7927834
US,AZ,US-AZ0251,PINAL ,Dry,320,Wilderness,Mountainous,Hiker,"19,19,18",MMM,3,,DD.DDD,33.39705,-111.3478667,33.40933332,-111.3171667,1,33.39705,-111.3478667,33.40933332,-111.3171667
US,AZ,US-AZ0253,PIMA ,Dry,320,Wilderness,Flat,Hiker,60,M,,,DD.DDD,33.38884999,-111.36565,33.40120001,-111.3751667,1,33.38884999,-111.36565,33.40120001,-111.3751667
US,AZ,US-AZ0254,PINAL ,Dry,320,Wilderness,Flat,Hiker,72,F,,,DD.DDD,32.82141666,-111.2021167,32.82466666,-111.2271667,1,32.82141666,-111.2021167,32.82466666,-111.2271667
US,AZ,US-AZ0255,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,43,M,,,DD.DDD,34.97868334,-111.8964333,34.94683336,-111.8896667,1,34.97868334,-111.8964333,34.94683336,-111.8896667
US,AZ,US-AZ0258,COCHISE ,Dry,320,Wilderness,Flat,Mental Retardation,16,M,,,DD.DDD,31.47053334,-110.1897833,31.52950001,-110.1289833,1,31.47053334,-110.1897833,31.52950001,-110.1289833
US,AZ,US-AZ0260,PINAL ,Dry,320,Wilderness,Mountainous,Hiker,"42,55",FM,2,,DD.DDD,33.47801666,-111.4376667,33.41566668,-111.3647833,1,33.47801666,-111.4376667,33.41566668,-111.3647833
US,AZ,US-AZ0266,COCONINO ,Dry,M310,Wilderness,MOUNTAINOUS,Hiker,44,F,,,DD.DDD,34.82386665,-111.7751333,34.83166669,-111.743,1,34.82386665,-111.7751333,34.83166669,-111.743
US,AZ,US-AZ0267,COCONINO ,Dry,M310,Wilderness,MOUNTAINOUS,Hiker,27,M,,,DD.DDD,34.92530003,-111.7341,34.89733334,-111.7411667,1,34.92530003,-111.7341,34.89733334,-111.7411667
US,AZ,US-AZ0270,GILA ,Dry,m310,Wilderness,MOUNTAINOUS,Hiker,"23,23",FM,2,,DD.DDD,34.09278333,-111.4209833,34.10233333,-111.4903333,1,34.09278333,-111.4209833,34.10233333,-111.4903333
US,AZ,US-AZ0274,PIMA ,Dry,320,Wilderness,Flat,Despondent,49,M,,,DD.DDD,32.42133334,-110.74,32.41833334,-110.7466667,1,32.42133334,-110.74,32.41833334,-110.7466667
US,AZ,US-AZ0276,MOHAVE ,Dry,310,Wilderness,Flat,Dementia,80,M,,,DD.DDD,34.75533333,-114.2059,34.82199999,-114.1441167,1,34.75533333,-114.2059,34.82199999,-114.1441167
US,AZ,US-AZ0277,COCONINO ,Dry,M310,Wilderness,Flat,Hiker,33,F,,,DD.DDD,36.23878333,-112.6892,36.24643334,-112.7000834,1,36.23878333,-112.6892,36.24643334,-112.7000834
US,AZ,US-AZ0278,COCONINO ,Dry,M310,Wilderness,Hilly,ATV,13,M,,,DD.DDD,35.33245001,-111.4995333,35.33533335,-111.4548333,1,35.33245001,-111.4995333,35.33533335,-111.4548333
US,AZ,US-AZ0279,COCHISE ,Dry,320,Wilderness,Mountainous,Hiker,34,F,,,DD.DDD,31.33446668,-109.81855,31.41008333,-109.8383333,1,31.33446668,-109.81855,31.41008333,-109.8383333
US,AZ,US-AZ0284,PINAL ,Dry,320,Wilderness,Flat,Vehicle,"19,27",FM,2,,DD.DDD,33.25333333,-111.4766667,33.24333334,-110.4516667,1,33.25333333,-111.4766667,33.24333334,-110.4516667
US,NJ,US-NJ0004,Somerset,Temperate,220,Rural,Flat,Child,12,M,1,,UTM,18T 0546398,4500085,18t 0546877,4498251,1,40.65222,-74.45078,40.63567,-74.44526
US,NM,US-NM0822,7,Dry,M330,Wilderness,Mountainous,Hiker,,,,,DD MM.MM,36N22.484 ,106W40.771,36N22.80  ,106W40.66,3,36.37473,-106.67952,36.38,-106.67767
US,NY,US-NY2107,,Temperate,m210,Wilderness,Mountainous,Hiker,"34,47",MM,2,Snow,UTM,554883,4652989,553615,4652989,1,42.02893,-74.33659,42.02902,-74.35191
US,NY,US-NY2109,,Temperate,,Wilderness,Flat,Hunter,63,M,1,Overcast,UTM,549074,4632093,548889,4632529,1,41.84112,-74.40851,41.84506,-74.4107
US,NY,US-NY2110,,Temperate,220,Wilderness,Hilly,Gatherer,74,F,1,Rain,UTM,51796,4618946,50779,4615221,1,41.59828,-80.37693,41.5643,-80.38629
US,NY,US-NY2112,,Temperate,m210,Wilderness,Mountainous,Hiker,"57,61",MM,2,Clear,UTM,55318,4613142,55947,4617772,1,41.54819,-80.33056,41.59006,-80.32647
US,NY,US-NY2113,,Temperate,m210,Wilderness,Mountainous,Hiker,"40,23",MF,2,Rain,UTM,547500,4650800,553300,4653700,1,42.0097,-74.42595,42.03544,-74.35565
US,NY,US-NY2116,,Temperate,,Wilderness,Flat,Child,4,M,1,Clear,UTM,574500,4508500,574500,4508500,1,40.72596,-74.11741,40.72596,-74.11741
